username,full_text,cleaned_text
kopiduasendok,@_NeverAlonely Sudah lunas kok ditagih? Delernya yg bermasalah. Alhamdulillah meskipun w orang kecil w ga ada tagihan kredit motor atau pinjol. Insya Allah terus ikhtiar meskipun ada senilai paket data sebulan ga da riba dan orang yg benar dekat. Jadi saat w mati wali waris w mudah urusan nya.,"['lunas', 'kok', 'tagih', 'deler', 'masalah', 'alhamdulillah', 'meski', 'gue', 'orang', 'kecil', 'gue', 'enggak', 'tagih', 'kredit', 'motor', 'pinjam', 'online', 'tuhan', 'terus', 'ikhtiar', 'meski', 'nila', 'paket', 'data', 'bulan', 'enggak', 'dah', 'riba', 'orang', 'benar', 'dekat', 'jadi', 'gue', 'mati', 'wali', 'waris', 'gue', 'mudah', 'urus', 'nya']"
littlekoreanvam,@_oyemivoz Eh sumpah temennya cowokku juga ada yang begitu! Asal nyantumin nomer orang buat jadi kontak darurat. Pas diconfront terus diup ke twt dia kayak kenapa sih harus dibawa ke twitter segala pinjol ilegal mah gausah dibayar. ,"['eh', 'sumpah', 'teman', 'cowok', 'ada', 'begitu', 'asal', 'menyantumkan', 'nomor', 'orang', 'buat', 'jadi', 'kontak', 'darurat', 'pas', 'diconfront', 'terus', 'diup', 'kayak', 'sih', 'bawa', 'segala', 'pinjam', 'online', 'ilegal', 'mah', 'enggak', 'usah', 'bayar']"
hapuskanpinjol,@_pohong @filosofikopid @sadili_safiq @kegblgnunfaedh udah menghilang id fb pegi namun tinggal cari pake kata kunci saja pegi setiawan banyak postingan2 yg udah d SS sama netizen,"['hilang', 'pegi', 'tinggal', 'cari', 'pakai', 'kata', 'kunci', 'pegi', 'setiawan', 'banyak', 'postingan', 'sudah', 'ss', 'sama', 'masyarakat']"
angstydork,@_quelapis Pengennya on loewe tapi nanti aku malah lari dari dc pinjol :'),"['ken', 'on', 'loewe', 'nanti', 'aku', 'malah', 'lari', 'tagih', 'hutang', 'pinjam', 'online']"
nolahadid,@_sslmaa @virnotpir buat pinjol ya,"['buat', 'pinjam', 'online']"
HantuBlimbing_,@_tjendana Negara terjerat pinjol warganya terjerat judol hehe,"['negara', 'jerat', 'pinjam', 'online', 'warga', 'jerat', 'judi', 'online']"
awspaw,@000deng89 taunya link pinjol WKWKWKWK,"['tau', 'link', 'pinjam', 'online', 'wkwkwkwk']"
EditionJess,@0xkyouki @andreasrtobing_ Jika kamu malas belajar money management malas belajar manajemen risiko maka memang hanya market yg mampu buat dirimu belajar. Apa yg akan trjdi kl lu pake duit pinjol? Emg ada berubah kl mindsetnya msh salah? Better lu ambil advice dr bang andreas aja. Telen mentah .,"['kamu', 'malas', 'ajar', 'uang', 'atur', 'malas', 'ajar', 'manajemen', 'risiko', 'memang', 'pasar', 'mampu', 'buat', 'diri', 'ajar', 'apa', 'akan', 'jadi', 'kalo', 'kamu', 'pakai', 'duit', 'pinjam', 'online', 'memang', 'ubah', 'kalo', 'mindsetnya', 'salah', 'lebih', 'baik', 'kamu', 'ambil', 'saran', 'bang', 'telan', 'mentah']"
Aria_Consultant,@2024survivepls Telbay gopay jangan dancil / oren karena rawan luar kondar,"['telat', 'bayar', 'jangan', 'rawan', 'luar', 'kontak', 'darurat']"
hapuskanpinjol,@404una @Generasiosing @kegblgnunfaedh tinggal nanti d liat saja bisa menyangkal bukti2 yg banyak itu atw tidak klo smua g percaya trus kudu gimana?smntara yg beredar di internet tuduhan2 k org lain smuanya hoax dan d bantah oleh yg bersangkutan klo mau bantah y kasih buktinya jgn pake asumsi hukum tegak g pake asumsi,"['tinggal', 'lihat', 'bisa', 'sangkal', 'bukti', 'banyak', 'atau', 'kalo', 'semua', 'enggak', 'percaya', 'terus', 'bagaimana', 'yang', 'edar', 'di', 'internet', 'tuduh', 'orang', 'smuanya', 'palsu', 'di', 'bantah', 'yang', 'sangkut', 'kalo', 'mau', 'bantah', 'kasih', 'bukti', 'jangan', 'pakai', 'asumsi', 'hukum', 'tegak', 'enggak', 'pakai', 'asumsi']"
5teV3n_Pe9eL,@4nti_koruptor @tempodotco Kalo biden bisa mutihin kalo dimari takutnya pake DC pinjol,"['kalau', 'mutih', 'kalau', 'mari', 'takut', 'pakai', 'tagih', 'hutang', 'pinjam', 'online']"
